FACTOR07,UBIGEO,RESULT,ESTRATO,P101,P102,P103,P103A,P110,P111A,P1121,P1141,P1142,P1143,P1144,Ingreso
28.5665740966797,040129,2,1,1,1,3,1,1,1,1,0,1,0,1,7711.56315104167
28.5665740966797,040129,1,1,2,1,2,1,1,1,1,1,1,1,1,12146.1536458333
28.5665740966797,040129,2,1,2,1,2,1,1,1,1,0,1,0,1,12527.75
28.5665740966797,040129,1,1,2,1,2,1,1,2,1,0,1,0,1,11792.9192708333
28.5665740966797,040129,2,1,1,1,3,1,1,1,1,0,1,1,1,25836.3125
28.5665740966797,040129,3,1, , , , , , , , , , , , 
28.5665740966797,040129,3,1, , , , , , , , , , , , 
224.343063354492,040122,2,1,1,1,5,1,1,1,1,0,1,0,0,2545.72086588542
224.343063354492,040122,3,1, , , , , , , , , , , , 
224.343063354492,040122,2,1,1,1,5,1,1,1,1,0,1,0,0,518.015909830729
224.343063354492,040122,2,1,1,1,3,1,1,1,1,1,1,0,1,4292.7900390625
224.343063354492,040122,1,1,1,1,5,4,1,1,1,0,1,1,1,3366.82975260417
224.343063354492,040122,1,1,1,1,5,1,1,1,1,0,1,0,1,2322.33333333333
63.6188354492188,040413,1,5,1,5,5,5,1,1,1,0,1,1,0,1287.08772786458
63.6188354492188,040413,1,5,1,1,5,4,1,1,1,0,1,0,1,2350.07552083333
63.6188354492188,040413,1,5,1,1,5,5,1,1,1,0,1,0,0,1709.22607421875
63.6188354492188,040413,5,5, , , , , , , , , , , , 
63.6188354492188,040413,1,5,1,1,5,1,1,1,1,0,1,1,1,4474.0146484375
63.6188354492188,040413,1,5,1,7,5,4,1,1,1,0,1,1,0,1701.10953776042
134.553329467773,040608,3,7, , , , , , , , , , , , 
134.553329467773,040608,1,7,1,3,6,4,1,1,1,0,1,0,0,2219.50309244792
134.553329467773,040608,2,7,1,3,6,4,1,1,1,0,1,0,0,4464.49544270833
134.553329467773,040608,1,7,1,3,6,4,1,1,1,0,1,0,1,2670.33333333333
134.553329467773,040608,1,7,1,1,5,1,1,1,1,0,1,0,1,15650.79296875
134.553329467773,040608,2,7,1,3,6,4,1,1,1,0,1,0,1,1021.98022460938
134.553329467773,040608,1,7,1,3,6,4,1,1,1,0,1,1,1,3424.20279947917
134.553329467773,040608,1,7,1,3,6,4,1,1,1,0,1,0,0,683.242106119792
419.929168701172,050101,1,2,1,3,6,4,1,1,1,0,1,0,1,2475.4599609375
419.929168701172,050101,1,2,4,3,5,4,2,2,1,0,1,1,1,2414.57438151042
419.929168701172,050101,7,2, , , , , , , , , , , , 
419.929168701172,050101,1,2,4,1,5,1,2,1,1,0,1,0,1,1636.20979817708
419.929168701172,050101,1,2,1,1,3,1,1,1,1,0,1,0,1,9259.20052083333
419.929168701172,050101,1,2,1,3,6,3,1,1,1,0,1,0,1,2902.0166015625
153.540969848633,050602,1,7,1,3,6,4,1,5,1,0,1,0,0,983.923909505208
153.540969848633,050602,1,7,1,3,6,4,1,5,1,0,1,0,0,1260.88948567708
153.540969848633,050602,1,7,1,3,6,4,1,5,1,0,1,0,0,727.482177734375
153.540969848633,050602,1,7,1,3,6,4,1,5,1,0,1,0,0,1120.84342447917
153.540969848633,050602,7,7, , , , , , , , , , , , 
153.540969848633,050602,4,7, , , , , , , , , , , , 
153.540969848633,050602,1,7,1,3,6,4,1,5,1,0,1,0,0,985.1015625
153.540969848633,050602,7,7, , , , , , , , , , , , 
768.868530273438,060801,1,3,1,3,6,4,1,1,1,0,1,1,0,1005.48323567708
768.868530273438,060801,1,3,1,3,5,4,1,1,1,0,1,1,1,909.273600260417
